"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-2.4,0.38,"<0.01",1,"M. nigricans",TRUE,1
"fyear2014",-2.43,0.39,"<0.01",1,"M. nigricans",TRUE,1
"fyear2015",-2.5,0.37,"<0.01",1,"M. nigricans",TRUE,1
"fyear2016",-2.08,0.38,"<0.01",1,"M. nigricans",TRUE,1
"fyear2017",-1.89,0.37,"<0.01",1,"M. nigricans",TRUE,1
"fyear2018",-1.86,0.37,"<0.01",1,"M. nigricans",TRUE,1
"fyear2019",-1.87,0.38,"<0.01",1,"M. nigricans",TRUE,1
"fyear2020",-2.13,0.38,"<0.01",1,"M. nigricans",TRUE,1
"fyear2021",-2.09,0.38,"<0.01",1,"M. nigricans",TRUE,1
"fyear2022",-2.09,0.38,"<0.01",1,"M. nigricans",TRUE,1
"fyear2023",-2.03,0.39,"<0.01",1,"M. nigricans",TRUE,1
"quarter2",0.15,0.05,"<0.01",1,"M. nigricans",TRUE,1
"quarter3",-0.03,0.07,"0.61",1,"M. nigricans",TRUE,1
"quarter4",-0.03,0.05,"0.53",1,"M. nigricans",TRUE,1
"trop_catch",0.01,0,"<0.01",1,"M. nigricans",TRUE,1
"sst",0.03,0.01,"0.04",1,"M. nigricans",TRUE,1
"fyear2013",-1.32,0.19,"<0.01",2,"M. nigricans",TRUE,1
"fyear2014",-1.47,0.18,"<0.01",2,"M. nigricans",TRUE,1
"fyear2015",-1.44,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2016",-1.33,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2017",-1.3,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2018",-1.25,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2019",-1.21,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2020",-1.27,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2021",-1.16,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2022",-1.22,0.17,"<0.01",2,"M. nigricans",TRUE,1
"fyear2023",-1.21,0.18,"<0.01",2,"M. nigricans",TRUE,1
"trop_catch",0,0,"<0.01",2,"M. nigricans",TRUE,1
"sst",-0.03,0.01,"<0.01",2,"M. nigricans",TRUE,1
