"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-3.22,1.02,"<0.01",1,"Mobulidae",TRUE,3
"fyear2014",-3.72,1.02,"<0.01",1,"Mobulidae",TRUE,3
"fyear2015",-4.43,1,"<0.01",1,"Mobulidae",TRUE,3
"fyear2016",-4.17,1,"<0.01",1,"Mobulidae",TRUE,3
"fyear2017",-4.55,1,"<0.01",1,"Mobulidae",TRUE,3
"fyear2018",-3.78,0.99,"<0.01",1,"Mobulidae",TRUE,3
"fyear2019",-3.94,1,"<0.01",1,"Mobulidae",TRUE,3
"fyear2020",-3.53,1.01,"<0.01",1,"Mobulidae",TRUE,3
"fyear2021",-3.96,1.01,"<0.01",1,"Mobulidae",TRUE,3
"fyear2022",-4.13,1.01,"<0.01",1,"Mobulidae",TRUE,3
"fyear2023",-4.54,1.03,"<0.01",1,"Mobulidae",TRUE,3
"quarter2",0.07,0.14,"0.61",1,"Mobulidae",TRUE,3
"quarter3",-0.24,0.17,"0.16",1,"Mobulidae",TRUE,3
"quarter4",-0.4,0.14,"<0.01",1,"Mobulidae",TRUE,3
"trop_catch",0,0,"<0.01",1,"Mobulidae",TRUE,3
"sst",-0.07,0.03,"0.02",1,"Mobulidae",TRUE,3
