"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",0.28,0.86,"0.75",1,"Molidae",TRUE,1
"fyear2014",0.92,0.8,"0.25",1,"Molidae",TRUE,1
"fyear2015",0.84,0.74,"0.26",1,"Molidae",TRUE,1
"fyear2016",0.7,0.76,"0.36",1,"Molidae",TRUE,1
"fyear2017",0.37,0.75,"0.62",1,"Molidae",TRUE,1
"fyear2018",1.13,0.74,"0.13",1,"Molidae",TRUE,1
"fyear2019",1.5,0.75,"0.04",1,"Molidae",TRUE,1
"fyear2020",1.17,0.74,"0.12",1,"Molidae",TRUE,1
"fyear2021",1.38,0.75,"0.07",1,"Molidae",TRUE,1
"fyear2022",1.87,0.75,"0.01",1,"Molidae",TRUE,1
"fyear2023",1.85,0.76,"0.01",1,"Molidae",TRUE,1
"sst",-0.2,0.02,"<0.01",1,"Molidae",TRUE,1
"fyear2013",-1.07,0.47,"0.02",2,"Molidae",TRUE,1
"fyear2014",-2.71,0.35,"<0.01",2,"Molidae",TRUE,1
"fyear2015",-2.3,0.2,"<0.01",2,"Molidae",TRUE,1
"fyear2016",-2.44,0.19,"<0.01",2,"Molidae",TRUE,1
"fyear2017",-2.61,0.21,"<0.01",2,"Molidae",TRUE,1
"fyear2018",-2.79,0.18,"<0.01",2,"Molidae",TRUE,1
"fyear2019",-2.63,0.2,"<0.01",2,"Molidae",TRUE,1
"fyear2020",-2.43,0.21,"<0.01",2,"Molidae",TRUE,1
"fyear2021",-2.35,0.21,"<0.01",2,"Molidae",TRUE,1
"fyear2022",-2.56,0.18,"<0.01",2,"Molidae",TRUE,1
"fyear2023",-2.34,0.18,"<0.01",2,"Molidae",TRUE,1
"quarter2",-0.15,0.15,"0.29",2,"Molidae",TRUE,1
"quarter3",0.3,0.15,"0.04",2,"Molidae",TRUE,1
"quarter4",-0.06,0.14,"0.64",2,"Molidae",TRUE,1
