"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",2.11,1.27,"0.1",1,"P. glauca",TRUE,2
"fyear2014",1.42,1.3,"0.27",1,"P. glauca",TRUE,2
"fyear2015",0.81,1.23,"0.51",1,"P. glauca",TRUE,2
"fyear2016",1.38,1.25,"0.27",1,"P. glauca",TRUE,2
"fyear2017",1.29,1.23,"0.29",1,"P. glauca",TRUE,2
"fyear2018",1.03,1.23,"0.4",1,"P. glauca",TRUE,2
"fyear2019",0.76,1.26,"0.55",1,"P. glauca",TRUE,2
"fyear2020",0.25,1.27,"0.85",1,"P. glauca",TRUE,2
"fyear2021",0.06,1.32,"0.97",1,"P. glauca",TRUE,2
"fyear2022",0.61,1.28,"0.63",1,"P. glauca",TRUE,2
"fyear2023",-0.18,1.31,"0.89",1,"P. glauca",TRUE,2
"quarter2",-0.14,0.24,"0.55",1,"P. glauca",TRUE,2
"quarter3",-0.89,0.27,"<0.01",1,"P. glauca",TRUE,2
"quarter4",-0.56,0.24,"0.02",1,"P. glauca",TRUE,2
"trop_catch",0,0,"0.04",1,"P. glauca",TRUE,2
"sst",-0.22,0.04,"<0.01",1,"P. glauca",TRUE,2
"fyear2013",-3.34,0.34,"<0.01",2,"P. glauca",TRUE,2
"fyear2014",-1.45,0.42,"<0.01",2,"P. glauca",TRUE,2
"fyear2015",-3.01,0.23,"<0.01",2,"P. glauca",TRUE,2
"fyear2016",-2.95,0.19,"<0.01",2,"P. glauca",TRUE,2
"fyear2017",-3.01,0.19,"<0.01",2,"P. glauca",TRUE,2
"fyear2018",-2.53,0.22,"<0.01",2,"P. glauca",TRUE,2
"fyear2019",-3.13,0.22,"<0.01",2,"P. glauca",TRUE,2
"fyear2020",-2.57,0.27,"<0.01",2,"P. glauca",TRUE,2
"fyear2021",-2.83,0.36,"<0.01",2,"P. glauca",TRUE,2
"fyear2022",-2.68,0.29,"<0.01",2,"P. glauca",TRUE,2
"fyear2023",-2.67,0.37,"<0.01",2,"P. glauca",TRUE,2
