"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-18.1,1.97,"<0.01",1,"S. barracuda",TRUE,2
"fyear2014",-16.68,1.94,"<0.01",1,"S. barracuda",TRUE,2
"fyear2015",-17.54,1.94,"<0.01",1,"S. barracuda",TRUE,2
"fyear2016",-17.76,1.95,"<0.01",1,"S. barracuda",TRUE,2
"fyear2017",-17.43,1.94,"<0.01",1,"S. barracuda",TRUE,2
"fyear2018",-17.78,1.95,"<0.01",1,"S. barracuda",TRUE,2
"fyear2019",-17.46,1.96,"<0.01",1,"S. barracuda",TRUE,2
"fyear2020",-17.86,1.95,"<0.01",1,"S. barracuda",TRUE,2
"fyear2021",-18.09,1.97,"<0.01",1,"S. barracuda",TRUE,2
"fyear2022",-17.81,1.95,"<0.01",1,"S. barracuda",TRUE,2
"fyear2023",-18.29,1.98,"<0.01",1,"S. barracuda",TRUE,2
"quarter2",1.22,0.18,"<0.01",1,"S. barracuda",TRUE,2
"quarter3",2.9,0.23,"<0.01",1,"S. barracuda",TRUE,2
"quarter4",1.65,0.18,"<0.01",1,"S. barracuda",TRUE,2
"trop_catch",0,0,"<0.01",1,"S. barracuda",TRUE,2
"sst",0.37,0.05,"<0.01",1,"S. barracuda",TRUE,2
"fyear2013",-4.17,0.37,"<0.01",2,"S. barracuda",TRUE,2
"fyear2014",-3.77,0.29,"<0.01",2,"S. barracuda",TRUE,2
"fyear2015",-4.32,0.25,"<0.01",2,"S. barracuda",TRUE,2
"fyear2016",-4.36,0.25,"<0.01",2,"S. barracuda",TRUE,2
"fyear2017",-4.63,0.25,"<0.01",2,"S. barracuda",TRUE,2
"fyear2018",-4.6,0.25,"<0.01",2,"S. barracuda",TRUE,2
"fyear2019",-4.59,0.25,"<0.01",2,"S. barracuda",TRUE,2
"fyear2020",-4.78,0.27,"<0.01",2,"S. barracuda",TRUE,2
"fyear2021",-4.56,0.26,"<0.01",2,"S. barracuda",TRUE,2
"fyear2022",-4.63,0.26,"<0.01",2,"S. barracuda",TRUE,2
"fyear2023",-4.61,0.27,"<0.01",2,"S. barracuda",TRUE,2
"quarter2",0.94,0.16,"<0.01",2,"S. barracuda",TRUE,2
"quarter3",1.08,0.15,"<0.01",2,"S. barracuda",TRUE,2
"quarter4",0.45,0.16,"<0.01",2,"S. barracuda",TRUE,2
"trop_catch",0,0,"<0.01",2,"S. barracuda",TRUE,2
