"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-2.03,0.77,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2014",-2.34,0.77,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2015",-1.95,0.74,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2016",-2.01,0.74,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2017",-2.37,0.74,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2018",-2.02,0.73,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2019",-1.58,0.74,"0.03",1,"Sphyraenidae",TRUE,1
"fyear2020",-1.79,0.75,"0.02",1,"Sphyraenidae",TRUE,1
"fyear2021",-2.01,0.75,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2022",-2.24,0.75,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2023",-2.35,0.75,"<0.01",1,"Sphyraenidae",TRUE,1
"quarter2",0,0.1,"1",1,"Sphyraenidae",TRUE,1
"quarter3",-0.06,0.12,"0.62",1,"Sphyraenidae",TRUE,1
"quarter4",-0.39,0.12,"<0.01",1,"Sphyraenidae",TRUE,1
"trop_catch",0.01,0,"<0.01",1,"Sphyraenidae",TRUE,1
"sst",-0.1,0.02,"<0.01",1,"Sphyraenidae",TRUE,1
"fyear2013",-1.42,0.24,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2014",-1.51,0.28,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2015",-1.43,0.19,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2016",-1.68,0.18,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2017",-1.7,0.17,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2018",-1.59,0.18,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2019",-1.43,0.18,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2020",-1.3,0.19,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2021",-1.48,0.2,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2022",-1.68,0.22,"<0.01",2,"Sphyraenidae",TRUE,1
"fyear2023",-1.3,0.21,"<0.01",2,"Sphyraenidae",TRUE,1
"quarter2",-0.16,0.11,"0.14",2,"Sphyraenidae",TRUE,1
"quarter3",-0.27,0.12,"0.03",2,"Sphyraenidae",TRUE,1
"quarter4",-0.19,0.12,"0.12",2,"Sphyraenidae",TRUE,1
"trop_catch",0,0,"<0.01",2,"Sphyraenidae",TRUE,1
