"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-2.56,0.21,"<0.01",1,"T. albacares",TRUE,1
"fyear2014",-3.4,0.31,"<0.01",1,"T. albacares",TRUE,1
"fyear2015",-2.44,0.18,"<0.01",1,"T. albacares",TRUE,1
"fyear2016",-3.31,0.18,"<0.01",1,"T. albacares",TRUE,1
"fyear2017",-4.23,0.2,"<0.01",1,"T. albacares",TRUE,1
"fyear2018",-5.48,0.29,"<0.01",1,"T. albacares",TRUE,1
"fyear2019",-4.29,0.22,"<0.01",1,"T. albacares",TRUE,1
"fyear2020",-4.51,0.24,"<0.01",1,"T. albacares",TRUE,1
"fyear2021",-4.46,0.25,"<0.01",1,"T. albacares",TRUE,1
"fyear2022",-4.48,0.25,"<0.01",1,"T. albacares",TRUE,1
"fyear2023",-4.14,0.23,"<0.01",1,"T. albacares",TRUE,1
"quarter2",0.06,0.13,"0.64",1,"T. albacares",TRUE,1
"quarter3",-0.53,0.16,"<0.01",1,"T. albacares",TRUE,1
"quarter4",-0.54,0.13,"<0.01",1,"T. albacares",TRUE,1
"trop_catch",0.01,0,"<0.01",1,"T. albacares",TRUE,1
"fyear2013",4.53,1.15,"<0.01",2,"T. albacares",TRUE,1
"fyear2014",5.6,1.18,"<0.01",2,"T. albacares",TRUE,1
"fyear2015",4.09,1.07,"<0.01",2,"T. albacares",TRUE,1
"fyear2016",4.98,1.09,"<0.01",2,"T. albacares",TRUE,1
"fyear2017",5.6,1.1,"<0.01",2,"T. albacares",TRUE,1
"fyear2018",6.21,1.17,"<0.01",2,"T. albacares",TRUE,1
"fyear2019",5.6,1.11,"<0.01",2,"T. albacares",TRUE,1
"fyear2020",5.67,1.12,"<0.01",2,"T. albacares",TRUE,1
"fyear2021",5.16,1.15,"<0.01",2,"T. albacares",TRUE,1
"fyear2022",6.83,1.17,"<0.01",2,"T. albacares",TRUE,1
"fyear2023",5.83,1.17,"<0.01",2,"T. albacares",TRUE,1
"sst",-0.23,0.04,"<0.01",2,"T. albacares",TRUE,1
