"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",0.35,1.7,"0.84",1,"T. obesus",TRUE,3
"fyear2014",-0.63,1.66,"0.7",1,"T. obesus",TRUE,3
"fyear2015",-0.65,1.59,"0.68",1,"T. obesus",TRUE,3
"fyear2016",-2.64,1.65,"0.11",1,"T. obesus",TRUE,3
"fyear2017",-2.41,1.65,"0.14",1,"T. obesus",TRUE,3
"fyear2018",-3.06,1.65,"0.06",1,"T. obesus",TRUE,3
"fyear2019",-2.23,1.66,"0.18",1,"T. obesus",TRUE,3
"fyear2020",-3.45,1.67,"0.04",1,"T. obesus",TRUE,3
"fyear2021",-4.05,1.69,"0.02",1,"T. obesus",TRUE,3
"fyear2022",-1.63,1.64,"0.32",1,"T. obesus",TRUE,3
"fyear2023",-2.49,1.69,"0.14",1,"T. obesus",TRUE,3
"trop_catch",0.01,0,"0.05",1,"T. obesus",TRUE,3
"sst",-0.15,0.06,"<0.01",1,"T. obesus",TRUE,3
