"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",1.26,1.5,"0.4",1,"Tetraodontidae",TRUE,2
"fyear2014",0.33,1.5,"0.83",1,"Tetraodontidae",TRUE,2
"fyear2015",0.63,1.45,"0.66",1,"Tetraodontidae",TRUE,2
"fyear2016",-0.11,1.48,"0.94",1,"Tetraodontidae",TRUE,2
"fyear2017",0.11,1.48,"0.94",1,"Tetraodontidae",TRUE,2
"fyear2018",-0.62,1.49,"0.68",1,"Tetraodontidae",TRUE,2
"fyear2019",-0.66,1.5,"0.66",1,"Tetraodontidae",TRUE,2
"fyear2020",-0.42,1.47,"0.77",1,"Tetraodontidae",TRUE,2
"fyear2021",-0.72,1.51,"0.63",1,"Tetraodontidae",TRUE,2
"fyear2022",-2.07,1.59,"0.19",1,"Tetraodontidae",TRUE,2
"fyear2023",-1.72,1.62,"0.29",1,"Tetraodontidae",TRUE,2
"trop_catch",0,0,"0.03",1,"Tetraodontidae",TRUE,2
"sst",-0.2,0.05,"<0.01",1,"Tetraodontidae",TRUE,2
"fyear2013",0.9,1.7,"0.6",2,"Tetraodontidae",TRUE,2
"fyear2014",-0.38,1.72,"0.82",2,"Tetraodontidae",TRUE,2
"fyear2015",1.02,1.63,"0.53",2,"Tetraodontidae",TRUE,2
"fyear2016",1.04,1.63,"0.52",2,"Tetraodontidae",TRUE,2
"fyear2017",1.49,1.69,"0.38",2,"Tetraodontidae",TRUE,2
"fyear2018",0.8,1.7,"0.64",2,"Tetraodontidae",TRUE,2
"fyear2019",0.56,1.66,"0.74",2,"Tetraodontidae",TRUE,2
"fyear2020",1.24,1.61,"0.44",2,"Tetraodontidae",TRUE,2
"fyear2021",0.59,1.78,"0.74",2,"Tetraodontidae",TRUE,2
"fyear2022",1.3,1.8,"0.47",2,"Tetraodontidae",TRUE,2
"fyear2023",1.17,1.83,"0.52",2,"Tetraodontidae",TRUE,2
"sst",-0.26,0.06,"<0.01",2,"Tetraodontidae",TRUE,2
