"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-3.93,0.31,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2014",-4.17,0.39,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2015",-5.35,0.33,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2016",-5.2,0.3,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2017",-4.82,0.27,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2018",-5.09,0.28,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2019",-6.42,0.43,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2020",-5.65,0.36,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2021",-6.77,0.48,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2022",-5.88,0.37,"<0.01",1,"Uraspis spp.",TRUE,2
"fyear2023",-8.33,1.03,"<0.01",1,"Uraspis spp.",TRUE,2
"quarter2",1.15,0.23,"<0.01",1,"Uraspis spp.",TRUE,2
"quarter3",-0.13,0.32,"0.67",1,"Uraspis spp.",TRUE,2
"quarter4",0.4,0.25,"0.1",1,"Uraspis spp.",TRUE,2
"fyear2013",-4.86,0.29,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2014",-6.4,0.39,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2015",-5.63,0.28,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2016",-6.32,0.24,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2017",-6.12,0.2,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2018",-6.27,0.23,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2019",-6.55,0.43,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2020",-6.79,0.33,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2021",-6.7,0.49,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2022",-6.17,0.35,"<0.01",2,"Uraspis spp.",TRUE,2
"fyear2023",-6.93,1.19,"<0.01",2,"Uraspis spp.",TRUE,2
