"term","estimate","std.error","p_value","component","model","check","category"
"fyear2013",-5.86,0.73,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2014",-2.28,0.22,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2015",-2.71,0.18,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2016",-3.25,0.18,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2017",-4.02,0.2,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2018",-5.09,0.25,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2019",-5.5,0.31,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2020",-6.09,0.41,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2021",-4.71,0.25,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2022",-5.56,0.34,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2023",-5.13,0.33,"<0.01",1,"Xiphioidea",TRUE,1
"trop_catch",0,0,"<0.01",1,"Xiphioidea",TRUE,1
"fyear2013",-0.97,0.65,"0.13",2,"Xiphioidea",TRUE,1
"fyear2014",-1.03,0.47,"0.03",2,"Xiphioidea",TRUE,1
"fyear2015",-0.69,0.46,"0.13",2,"Xiphioidea",TRUE,1
"fyear2016",-0.7,0.47,"0.14",2,"Xiphioidea",TRUE,1
"fyear2017",-0.83,0.48,"0.08",2,"Xiphioidea",TRUE,1
"fyear2018",-0.98,0.48,"0.04",2,"Xiphioidea",TRUE,1
"fyear2019",-1.14,0.5,"0.02",2,"Xiphioidea",TRUE,1
"fyear2020",-1.16,0.54,"0.03",2,"Xiphioidea",TRUE,1
"fyear2021",-0.68,0.49,"0.17",2,"Xiphioidea",TRUE,1
"fyear2022",-1.21,0.51,"0.02",2,"Xiphioidea",TRUE,1
"fyear2023",-1.07,0.48,"0.03",2,"Xiphioidea",TRUE,1
"sst",-0.06,0.02,"<0.01",2,"Xiphioidea",TRUE,1
